SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME
"5026","EDISON HIGH BRIGHT FUTURES","EDISON HIGH BRIGHT FUTURES","151 W. LUZERNE ST.","19140",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"5332","HUNTER SCHOOL HEAD START","HUNTER SCHOOL HEAD START","144 W. DAUPHIN ST.","19133",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"1251","CATHARINE ANNEX HEAD START","CATHARINE ANNEX HEAD START","6900 GREENWAY AVE.","19142",,"PHILADELPHIA","PA","2157275780","PK","PK",,"EARLY CHILDHOOD"
"7294","FRANKFORD CENTER HEAD START","FRANKFORD CENTER HEAD START","1730 MEADOW ST.","19124",,"PHILADELPHIA","PA","2157442840","PK","PK",,"EARLY CHILDHOOD"
"5472","LITTLE PEOPLE KENS HEAD START","LITTLE PEOPLE KENS HEAD START","101 W. ALLEGHENY AVE.","19125",,"PHILADELPHIA","PA","2157390362","PK","PK",,"EARLY CHILDHOOD"
"5442","WILLARD ANNEX HEAD START","WILLARD ANNEX HEAD START","3070 FRANKFORD AVE.","19134",,"PHILADELPHIA","PA","2154237733","PK","PK",,"EARLY CHILDHOOD"
"6474","DE PAUL CENTER HEAD START","DE PAUL CENTER HEAD START","44 W. LOGAN ST.","19144",,"PHILADELPHIA","PA","2158420940","PK","PK",,"EARLY CHILDHOOD"
"4433","T.M. PEIRCE HEAD START","PEIRCE, T.M. HEAD START","2300 CAMBRIA ST.","19132",,"PHILADELPHIA","PA","2152264011","PK","PK",,"EARLY CHILDHOOD"
"7514","TRINIDAD HEAD START","TRINIDAD HEAD START","1038 W. SEDGLEY AVE.","19140",,"PHILADELPHIA","PA","2152235764","PK","PK",,"EARLY CHILDHOOD"
"4372","OVERBROOK ELEM HEAD START","OVERBROOK ELEM HEAD START","2032 N. 62ND ST.","19151",,"PHILADELPHIA","PA","2155815548","PK","PK",,"EARLY CHILDHOOD"
"4394","PRATT HEAD START","PRATT HEAD START","2200 N. 22ND ST.","19132",,"PHILADELPHIA","PA","2156841669","PK","PK",,"EARLY CHILDHOOD"
"3390","WEBSTER SCHOOL HEAD START","WEBSTER SCHOOL HEAD START","3400 FRANKFORD AVE.","19134",,"PHILADELPHIA","PA","2157444738","PK","PK",,"EARLY CHILDHOOD"
"0083","ECE BILINGUAL HEAD START","ECE BILINGUAL HEAD START","762 S. BROAD ST.","19146",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"4250","CLEVELAND SCHOOL HEAD START","CLEVELAND SCHOOL HEAD START","3701 N. 19TH ST.","19140",,"PHILADELPHIA","PA","2152283554","PK","PK",,"EARLY CHILDHOOD"
"4190","MITCHELL HEAD START","MITCHELL HEAD START","5500 KINGSESSING ST.","19143",,"PHILADELPHIA","PA","2157272938","PK","PK",,"EARLY CHILDHOOD"
"0084","CARING PEOPLE ALLIANCE- W. ECE","CARING PEOPLE ALLIANCE- W. ECE","3512 HAVERFORD AVE.","19104",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"7381","MC CLURE SCHOOL BRIGHT FUTURES","MC CLURE SCHOOL BRIGHT FUTURES","600 W. HUNTING PARK AVE.","19140",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"8251","FORREST SCHOOL BRIGHT FUTURES","FORREST SCHOOL BRIGHT FUTURES","7300 COTTAGE ST.","19136",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"1027","LEA SCHOOL HEAD START","LEA SCHOOL HEAD START","4700 LOCUST ST.","19139",,"PHILADELPHIA","PA","2154743080","PK","PK",,"EARLY CHILDHOOD"
"6202","ANNA B. DAY HEAD START","DAY, ANNA B. HEAD START","1200 E. JOHNSON ST.","19138",,"PHILADELPHIA","PA","2152766354","PK","PK",,"EARLY CHILDHOOD"
"2030","GLADING HEAD START","GLADING HEAD START","1267 E. CHELTENHAM AVE.","19124",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"1363","MCMICHAEL HEAD START","MCMICHAEL HEAD START","3543 FAIRMOUNT AVE.","19104",,"PHILADELPHIA","PA","2153826770","PK","PK",,"EARLY CHILDHOOD"
"1431","WILSON HEAD START","WILSON HEAD START","1300 S. 46TH ST.","19143",,"PHILADELPHIA","PA","2153822885","PK","PK",,"EARLY CHILDHOOD"
